,Date,Region,Depth,Magnitude,Deaths,Total damage
99,12/17/1987,"Honshu (Chiba Perfecture, Tokyo)",19 km,6.0,2,
100,03/24/1987,Honshu Island,47 km,5.1,0,
101,03/18/1987,"Kyushu (Miyazaki, Naze)",30 km,6.7,2,
102,02/06/1987,East Coast Honshu,17 km,6.3,0,
103,09/18/1984,Honshu Island,44 km,6.9,0,
104,09/13/1984,Honshu (Central: Mt Ontake),49 km,6.1,29,
105,08/06/1984,Kyushu (Nobeoka),38 km,6.7,20,
106,06/13/1984,"Tori Shima, Okinawa",25 km,5.5,0,
107,10/30/1983,"Tottori, Yonango",57 km,5.2,0,
108,10/03/1983,"Miyakejima, Oshima",35 km,6.0,0,
109,08/08/1983,Honshu (S Coast),57 km,5.3,1,
110,06/21/1983,N. Honshu Island,27 km,6.9,0,
111,06/09/1983,"Noshiro, Japan",3 km,5.9,0,
112,05/26/1983,Honshu (Akita),59 km,7.7,4,
113,12/28/1982,S. Of Honshu Island,42 km,6.1,0,
114,07/23/1982,"Ibaraki, Japan",53 km,6.8,0,
115,03/21/1982,"Hokkaido, Urakawa, Hiroo",7 km,6.7,110,
116,01/18/1981,E. Honshu Island,24 km,6.9,0,
117,09/24/1980,"Tokyo, Yokohama",24 km,6.0,2,
118,06/29/1980,Honshu (S Coast),5 km,6.2,0,
119,02/20/1979,"Iwate, Japan",32 km,6.4,0,
120,06/12/1978,Sanriku,26 km,7.7,28,
121,06/03/1978,South Honshu (Hiroshima),52 km,4.9,0,
122,02/20/1978,"Ofunato, Tohoku",58 km,6.1,0,
123,01/14/1978,"Tokkaido, Oshima",39 km,6.6,25,
124,04/20/1975,"Oita, Arosan",50 km,6.1,0,
125,01/23/1975,Arosan,14 km,5.8,0,
126,08/03/1974,"Honshu (Kakiota, Mito, Tokyo)",34 km,5.7,2,
127,05/08/1974,Nakagi,25 km,6.5,30,
128,06/17/1973,Hokkaido Island,2 km,7.7,0,
129,12/04/1972,"South Of Honshu, Hachijojima",12 km,7.4,0,
130,02/29/1972,"South Of Honshu (Hachijojima, Tokyo)",59 km,7.2,0,
131,08/02/1971,Japan Trench,56 km,7.3,0,
132,07/25/1970,"Seikaido, Japan",10 km,7.0,0,
133,04/21/1969,Ryukyu Islands,,0.0,0,
134,01/19/1969,Hokkaido,4 km,7.6,0,
135,10/07/1968,Bonin Islands,20 km,7.5,0,
136,08/05/1968,Seikaido-Nankaido,,0.0,0,
137,06/12/1968,Sanriku,50 km,7.2,0,
138,05/16/1968,Off Coast Of Honshu Island,1 km,7.5,0,
139,05/16/1968,Off East Coast Of Honshu Island,55 km,8.2,52,
140,04/01/1968,"Kyushu, Shikoku",4 km,7.5,1,
141,02/21/1968,Kyushu,,6.3,3,
142,04/19/1965,"Aichi, Shizouka Prefectures",58 km,6.0,1,
143,12/11/1964,"Nw. Honshu Island, Japan",,0.0,0,
144,06/16/1964,Honshu (W Coast),44 km,7.5,26,
